start_sec,end_sec,task,hand_side,verb,manipulated_object,affected_object
1.0,13.91,add_magnetic_beads,,,,
14.009999999999998,31.609999999999996,pipetting,,,,
31.669999999999998,42.7,pipetting,,,,
42.7,50.400000000000006,vortex,,,,
50.400000000000006,59.09,spindown,,,,
59.13,66.07000000000001,place_in_magnetic_rack,,,,
66.22,98.41,aspirate_supernatant,,,,
98.52,128.81,add_wash_buffer,,,,
128.96,139.21,pipetting,,,,
139.26,144.82,vortex,,,,
144.82,151.54,spindown,,,,
151.6,158.59,place_in_magnetic_rack,,,,
158.69,182.91,aspirate_supernatant,,,,
183.03,204.665,add_70pct_ethanol,,,,
204.665,219.31,pipetting,,,,
219.39000000000001,224.66,vortex,,,,
224.66,230.46,spindown,,,,
230.53,235.56,place_in_magnetic_rack,,,,
235.67000000000002,258.61,aspirate_supernatant,,,,
258.65,276.31,add_sterile_water,,,,
276.31,292.61,pipetting,,,,
292.64,299.17,vortex,,,,
299.21,307.1,spindown,,,,
307.14,312.22,place_in_magnetic_rack,,,,
312.3,344.31,transfer_supernatant_to_empty_tube,,,,
1.1499999999999995,1.71,,right,take,yellow_pipette,
2.1399999999999997,3.3999999999999995,,left,open,yellow_tip_rack,
2.9799999999999995,4.94,,right,insert,yellow_pipette,yellow_tip
4.874999999999999,6.124999999999999,,left,close,yellow_tip_rack,
7.214999999999999,8.504999999999999,,left,take,micro_tube,micro_tube_rack
9.094999999999999,10.395,,left,open,micro_tube,
14.129999999999999,16.0,,right,insert,yellow_pipette,micro_tube
14.32,14.93,,right,press,yellow_pipette,
16.299999999999997,17.014999999999997,,right,release,yellow_pipette,
17.014999999999997,17.349999999999998,,right,press,yellow_pipette,
17.349999999999998,17.865,,right,release,yellow_pipette,
17.865,18.195,,right,press,yellow_pipette,
18.195,18.424999999999997,,right,release,yellow_pipette,
18.424999999999997,18.619999999999997,,right,press,yellow_pipette,
18.619999999999997,18.959999999999997,,right,release,yellow_pipette,
18.959999999999997,19.24,,right,press,yellow_pipette,
19.24,19.459999999999997,,right,release,yellow_pipette,
19.459999999999997,19.794999999999998,,right,press,yellow_pipette,
19.794999999999998,19.99,,right,release,yellow_pipette,
19.99,20.285,,right,press,yellow_pipette,
20.285,20.645,,right,release,yellow_pipette,
20.645,20.935,,right,press,yellow_pipette,
20.935,21.13,,right,release,yellow_pipette,
21.13,21.38,,right,press,yellow_pipette,
21.38,21.82,,right,release,yellow_pipette,
22.014999999999997,22.845,,right,detach,yellow_pipette,micro_tube
23.0,24.419999999999998,,left,close,micro_tube,
25.095,26.445,,left,put,micro_tube,micro_tube_rack
26.595,27.255,,left,take,micro_tube,micro_tube_rack
28.51,29.859999999999996,,left,open,micro_tube,
31.76,33.165,,right,insert,yellow_pipette,micro_tube
33.165,33.475,,right,press,yellow_pipette,
33.475,33.67,,right,release,yellow_pipette,
33.67,33.96,,right,press,yellow_pipette,
33.96,34.155,,right,release,yellow_pipette,
34.155,34.370000000000005,,right,press,yellow_pipette,
34.370000000000005,35.075,,right,release,yellow_pipette,
35.075,35.405,,right,press,yellow_pipette,
35.405,35.565000000000005,,right,release,yellow_pipette,
35.565000000000005,35.830000000000005,,right,press,yellow_pipette,
35.830000000000005,36.125,,right,release,yellow_pipette,
36.125,36.34,,right,press,yellow_pipette,
36.34,36.53,,right,release,yellow_pipette,
36.53,36.75,,right,press,yellow_pipette,
36.75,37.02,,right,release,yellow_pipette,
37.02,37.28,,right,press,yellow_pipette,
37.835,38.725,,right,detach,yellow_pipette,micro_tube
38.805,39.045,,right,release,yellow_pipette,
39.1,39.92,,right,eject,yellow_pipette,yellow_tip
40.21,41.050000000000004,,right,put,yellow_pipette,
41.22,41.93,,right,close,micro_tube,
41.84,42.580000000000005,,left,put,micro_tube,right_hand
41.980000000000004,42.660000000000004,,right,take,micro_tube,left_hand
42.745000000000005,43.525000000000006,,right,put,micro_tube,vortex_mixer
50.09,50.400000000000006,,right,take,micro_tube,vortex_mixer
50.405,51.825,,right,put,micro_tube,centrifuge
51.92,53.63,,right,close,centrifuge,
57.690000000000005,58.96,,right,open,centrifuge,
59.2,61.71000000000001,,right,take,micro_tube,centrifuge
61.900000000000006,63.45,,right,put,micro_tube,magnetic_rack
66.33,67.05,,right,take,yellow_pipette,
68.36,69.75,,left,open,yellow_tip_rack,
69.12,71.32000000000001,,right,insert,yellow_pipette,yellow_tip
71.24000000000001,72.16,,left,close,yellow_tip_rack,
73.385,74.095,,left,take,50ml_tube,50ml_tube_rack
74.47,76.01,,right,open,50ml_tube,
76.83500000000001,78.285,,left,put,50ml_tube,50ml_tube_rack
79.525,82.735,,left,open,micro_tube,
83.75,86.79,,right,insert,yellow_pipette,micro_tube
84.51,85.38,,left,take,magnetic_rack,
85.405,86.265,,right,press,yellow_pipette,
87.15,90.39,,right,release,yellow_pipette,
91.62,92.52,,right,detach,yellow_pipette,micro_tube
92.46000000000001,93.16,,left,put,magnetic_rack,
93.16,94.31,,left,close,micro_tube,
94.73,95.51,,right,insert,yellow_pipette,50ml_tube
95.51,96.06,,right,press,yellow_pipette,
96.06,96.235,,right,release,yellow_pipette,
96.235,96.665,,right,detach,yellow_pipette,50ml_tube
96.665,97.245,,right,eject,yellow_pipette,yellow_tip
97.43,98.29,,right,put,yellow_pipette,
98.60000000000001,100.25,,right,take,micro_tube,magnetic_rack
100.25,101.82000000000001,,right,put,micro_tube,micro_tube_rack
102.65,103.42,,right,take,magnetic_rack,
102.65,103.42,,left,take,magnetic_rack,
104.26,105.7,,left,put,magnetic_rack,
106.32000000000001,107.06,,right,take,yellow_pipette,
108.295,109.535,,left,open,yellow_tip_rack,
108.89,110.73,,right,insert,yellow_pipette,yellow_tip
110.67,111.54,,left,close,yellow_tip_rack,
112.88,113.56,,left,take,micro_tube,micro_tube_rack
113.56,114.66,,left,put,micro_tube,micro_tube_rack
115.395,115.97500000000001,,left,take,micro_tube,micro_tube_rack
116.39,117.60000000000001,,left,open,micro_tube,
117.93,119.61,,right,insert,yellow_pipette,micro_tube
118.305,119.105,,right,press,yellow_pipette,
119.82000000000001,120.605,,right,release,yellow_pipette,
120.605,121.455,,right,detach,yellow_pipette,micro_tube
122.10000000000001,123.15,,right,close,micro_tube,
123.68,124.43,,left,put,micro_tube,micro_tube_rack
124.6,125.19999999999999,,left,take,micro_tube,micro_tube_rack
